Author Name,Book Name,Language,Words,Age,Views,Favorite
RUSSELL  ROBERT WINTERBOTHAM,THE WHISPERING SPHERES,English,9352,18 and up,2,0
JOHN STEWART   WILLIAMSON,THE PYGMY PLANET,English,9716,18 and up,2,0
MARI  WOLF,THE STATUE,English,6627,18 and up,2,1
HORACE BROWN  FYFE,THIS WORLD MUST DIE!,English,7961,18 and up,2,0
FREDERIK  POHL,THE TUNNEL UNDER THE WORLD,English,11710,18 and up,2,0
CHRISTOPHER  LEADEM,OBERHEIM,English,89824,18 and up,2,0
EDWARD BULWER  LYTTON,THE COMING RACE,English,52479,18 and up,2,0
JACK  LONDON,THE IRON HEEL,English,87806,18 and up,2,0
CHARLES  WILLARD DIFFIN,BROOD OF THE DARK MOON,English,60640,18 and up,2,0
RICHARD BONNER,THE BOY INVENTORS' RADIO- TELEPHONE,English,45140,18 and up,2,0
DALLAS  MCCORD REYNOLDS,"BORDER, BREED NOR BIRTH",English,42721,18 and up,2,0
GEORGE  MCCREADY PRICE,"Q. E. D., OR NEW LIGHT ON THE DOCTRINE OF CREATION",English,33133,18 and up,2,0
WALTER  MILLER,CHECK AND CHECKMATE,English,9383,18 and up,2,0
MARK  CLIFTON,DO UNTO OTHERS,English,8911,18 and up,2,0
CHARLES LOUIS  FONTENAY,DISQUALIFIED,English,1027,18 and up,2,0
ROGER DEE,CONTROL GROUP,English,4904,18 and up,2,0
ROBERT SHIRLEY  RICHARDSON,DISTURBING SUN,English,4073,18 and up,2,0
CORY  DOCTOROW,CRAPHOUND,English,7079,18 and up,2,0
MICHAEL   SHAARA,CONQUEST OVER TIME,English,11930,18 and up,2,1
WILLIAM  MORRISON,DIVINITY,English,6777,18 and up,2,1
ROBERT  SHECKLEY,DIPLOMATIC IMMUNITY,English,6515,18 and up,2,0
DEAN CHARLES ING,TIGHT SQUEEZE,English,6149,18 and up,2,0
HAL  K. WELLS,DEVIL CRYSTALS OF ARRET,English,9239,18 and up,2,0
JOHN STEWART  WILLIAMSON,SALVAGE IN SPACE,English,8717,18 and up,2,1
MARI  WOLF,ROBOTS OF THE WORLD! ARISE,English,6608,18 and up,2,1
JOHN  WOOD CAMPBELL,INVADERS FROM THE INFINITE,English,64533,18 and up,2,0
J. U.  GIESY,"JASON, SON OF JASON",English,42294,18 and up,2,1
SAMUEL GRISWOLD  GOODRICH,ILLUSTRATIVE ANECDOTES OF THE ANIMAL KINGDOM,English,91081,18 and up,2,0
GORDON RANDALL  GARRETT,INSTANT OF DECISION,English,8740,18 and up,2,0
POUL WILLIAM  ANDERSON,INDUSTRIAL REVOLUTION,English,16623,18 and up,2,0
"BENJAMIN  ROSENBAUM, CORY DOCTOROW",TRUE NAMES,English,32904,18 and up,2,0
EDWARD  ELMER SMITH,THE GALAXY PRIMES,English,66234,18 and up,2,1
CHARLES DE VET,WHEELS WITHIN,English,6048,18 and up,2,1
WILLIAM  LE QUEUX,THE GREAT WHITE QUEEN,English,89357,18 and up,2,1
ROBERT  SILVERBERG,THE HAPPY UNFORTUNATE,English,7321,18 and up,2,0
FREDERIK  POHL,THE HATED,English,4119,18 and up,2,0
Richard   Jefferies,The Hills and the Vale,English,88336,18 and up,2,1
VARIOUS VARIOUS,"ASTOUNDING STORIES, MAY, 1931",English,80786,18 and up,2,0
N.H.  EGLESTON,ARBOR DAY LEAVES,English,11512,18 and up,2,0
JOHN  O'KEEFE,AS LONG AS YOU WISH,English,1802,18 and up,2,0
RAYMOND ZINKE  GALLUN,ASTEROID OF FEAR,English,14089,18 and up,2,0
ROGER  DEE,ASSIGNMENT'S END,English,7472,18 and up,2,0
WILLIAM  MORRISON,BEDSIDE MANNER,English,6549,18 and up,2,0
LESTER DEL  REY,BADGE OF INFAMY,English,32913,18 and up,2,1
VARIOUS .,ASTOUNDING STORIES OF SUPER-SCIENCE JULY 1930,English,80725,18 and up,2,0
VARIOUS VARIOUS,"ASTOUNDING STORIES OF SUPER-SCIENCE, OCTOBER, 1930",English,79110,18 and up,2,0
VARIOUS VARIOUS,ASTOUNDING STORIES OF SUPER-SCIENCE SEPTEMBER 1930,English,79758,18 and up,2,1
VARIOUS .,"ASTOUNDING STORIES OF SUPER-SCIENCE, DECEMBER 1930",English,79985,18 and up,2,1
VARIOUS .,"ASTOUNDING STORIES OF SUPER-SCIENCE, MAY, 1930",English,79234,18 and up,2,0
VARIOUS VARIOUS,"ASTOUNDING STORIES, APRIL, 1931",English,81405,18 and up,2,0
VARIOUS VARIOUS,"ASTOUNDING STORIES, AUGUST, 1931",English,78162,18 and up,2,0
VARIOUS .,ASTOUNDING STORIES OF SUPER-SCIENCE JANUARY 1931,English,79030,18 and up,2,0
VARIOUS VARIOUS,"ASTOUNDING STORIES, FEBRUARY, 1931",English,76983,18 and up,2,0
VARIOUS .,ASTOUNDING STORIES OF SUPER-SCIENCE JULY 1930,English,80668,18 and up,2,0
VARIOUS .,ASTOUNDING STORIES OF SUPER-SCIENCE JULY 1930,English,80656,18 and up,2,0
VARIOUS VARIOUS,"ASTOUNDING STORIES, JUNE, 1931",English,75303,18 and up,2,0
VARIOUS .,"ASTOUNDING STORIES OF SUPER-SCIENCE, AUGUST 1930",English,81003,18 and up,2,0
VARIOUS VARIOUS,ASTOUNDING STORIES OF SUPER-SCIENCE FEBRUARY 1930,English,87417,18 and up,2,0
VARIOUS VARIOUS,ASTOUNDING STORIES OF SUPER-SCIENCE JANUARY 1931,English,78787,18 and up,2,0
VARIOUS VARIOUS,ASTOUNDING STORIES OF SUPER-SCIENCE FEBRUARY 1930,English,82022,18 and up,2,0
VARIOUS VARIOUS,ASTOUNDING STORIES OF SUPER-SCIENCE APRIL 1930,English,72411,18 and up,2,0
RANDALL  GARRETT,THE HIGHEST TREASON,English,22745,18 and up,2,0
POUL WILLIAM  ANDERSON,INDUSTRIAL REVOLUTION,English,16545,18 and up,2,0
EVERETT B.  COLE,INDIRECTION,English,7346,18 and up,2,0
GEORGE OLIVER  SMITH,INSTINCT,English,4541,18 and up,2,0
SAM  MERWIN,IT'S ALL YOURS,English,3543,18 and up,2,0
Gordon Randall  Garrett,INSTANT OF DECISION,English,8742,18 and up,2,1
JAMES PATRICK   KELLY,ITSY BITSY SPIDER,English,4957,18 and up,2,0
LLOYD ARTHUR  ESHBACH,ISLE OF THE UNDEAD,English,9963,18 and up,2,0
JOHN W  CAMPBELL,ISLANDS OF SPACE,English,62508,18 and up,2,1
Robert Sheckley  Sheckley,KEEP YOUR SHAPE,English,6015,18 and up,2,0
MURRAY F YACO,MEMBERSHIP DRIVE,English,3353,18 and up,2,0
JAMES PATRICK  KELLY,MEN ARE TROUBLE,English,16828,18 and up,2,0
Ethel Allen Murphy,The Angel of Thought,English,1042,18 and up,2,1
G.L. Vandenburg,The Observers,English,8327,18 and up,2,0
George D. Wolf,"The Fair Play Settlers of the West Branch Valley, 1769-1784 ",English,46572,18 and up,2,1
Gordon Randall Garrett  Laurence Mark Janifer ,Pagan Passions,English,44127,18 and up,2,1
John Jacob  Astor,A Journey In Other Worlds (Fiscle Part-X),English,92005,18 and up,2,0
Elbert  Hubbard,Little Journeys To The Homes Of The Great - Volume 12 (Fiscle Part-X),English,87159,18 and up,2,0
Mark  Wicks,To Mars Via The Moon,English,84558,18 and up,2,2
Not  Applicable,Astounding Stories Of Super-Science February 1930 (Fiscle Part-X),English,73405,18 and up,2,0
Charles  Darwin,On The Origin Of Species,English,205977,18 and up,2,1
J. H. Hill,Astral Worship,English,24432,18 and up,2,0
Sax   Rohmer,The Insidious Dr. Fu-Manchu,English,75308,18 and up,2,0
Tito Vignoli,Myth And Science (Fiscle Part-I)        An Essay,English,83709,18 and up,2,0
Elbert  Hubbard,Little Journeys To The     Homes Of     The     Great - Volume 12 (Fiscle Part-X)        Little Journeys To The     Home,English,92658,18 and up,2,0
James Russell Lowell,Among My Books (Fiscle Part-Xi)        First Series,English,128572,18 and up,2,0
Hildebrand None,Camera Obscura (Fiscle Part-Xii),English,164844,18 and up,2,1
Irving  Cox,The Guardians,English,6205,18 and up,2,2
Vaseleos  Garson,Acid Bath,English,4937,18 and up,2,1
Gordon Randall  Garrett,After a Few Words,English,2999,18 and up,2,1
Robert E.  Gilbert,Stopover Planet,English,2530,18 and up,2,1
Gordon Randall  Garrett,Cum Grano Salis,English,8384,18 and up,2,1
Mark  Cantrell,Uranium Fist,English,53178,18 and up,2,0
Kirk  Munroe,Wakulla,English,48104,18 and up,2,0
Gordon Randall  Garrett,Psichopath,English,9248,18 and up,2,0
J. U. Giesy Giesy,Palos of the Dog Star Pack,English,11756,18 and up,2,0
Raymond Zinke  Gallun,Stamped Caution,English,11869,18 and up,2,0
Gordon Randall  Garrett,"But, I Don't Think",English,11468,18 and up,2,0
GEORGE  LONG,VALHALLA,English,55543,18 and up,2,1
Raymond Zinke  Gallun,Asteroid of Fear,English,14038,18 and up,2,0
Gordon Randall  Garrett,Nor Iron Bars a Cage....,English,17305,18 and up,2,0
GORDON RANDALL GARRETT,AFTER A FEW WORDS,English,2925,18 and up,2,0
JOHN  SCALZI,AGENT TO THE STARS,English,97128,18 and up,2,1
Raymond Zinke  Gallun,The Planet Strappers,English,64638,18 and up,2,1
Dallas McCord Reynolds,Adaptation,English,25400,18 and up,2,0
Irving E. Cox,Adolescents Only,English,10545,18 and up,2,0
Gordon Randall  Garrett,Out Like a Light,English,53323,18 and up,2,0
John Murray  Reynolds,The Golden Amazons of Venus,English,36378,18 and up,2,0
Cory  Doctorow,Super Man and the Bug Out,English,8436,18 and up,2,1
H. BEAM PIPER,OMNILLINGUAL,English,16343,18 and up,2,0
Herbert Newton  Casson,The Romance of the Reaper,English,34996,18 and up,2,0
W.W.  Skupeldyckle,The Romantic Analogue,English,4276,18 and up,2,0
"Henry Beam  Piper, John Joseph  McGuire",NULL-ABC,English,35603,18 and up,2,0
Sarban (John William Wall),The Sound of His Horn,English,40057,18 and up,2,0
Henry Seton  Merriman,The Sowers,English,106108,18 and up,2,0
Will  Mohler,In the Control Tower,English,5626,18 and up,2,0
Henry Wadsworth  Longfellow,Hyperion,English,70289,18 and up,2,0
H. G.  Wells,In the Days of the Comet,English,83289,18 and up,2,1
Frances Hodgson  Burnett,In the Closed Room,English,11246,18 and up,2,0
Lester   del Rey,No Strings Attached,English,4809,18 and up,2,1
Jesse Franklin  Bone,Assassin,English,9653,18 and up,2,0
VARIOUS  VARIOUS ,Astounding Stories of Super-Science April 1930,English,68969,18 and up,2,0
Various Various,Astounding Stories of Super-Science January 1931,English,75816,18 and up,2,0
Various Various,Astounding Stories of Super-Science July 1930,English,78491,18 and up,2,0
Various Various,"Astounding Stories of Super-Science, August 1930",English,49245,18 and up,2,0
Various Various,"Astounding Stories of Super-Science, December 1930",English,76817,18 and up,2,0
Various Various,Astounding Stories of Super-Science January 1931,English,64787,18 and up,2,0
Various Various,Astounding Stories of Super-Science July 1930,English,69718,18 and up,2,0
Various Various,Astounding Stories of Super-Science February 1930,English,70445,18 and up,2,0
Various Various,ASTOUNDING STORIES OF SUPER-SCIENCE,English,77035,18 and up,2,0
Various Various,"Astounding Stories of Super-Science, May, 1930",English,75833,18 and up,2,0
Various Various,"Astounding Stories of Super-Science, October, 1930",English,73196,18 and up,2,0
Various Various,Astounding Stories of Super-Science September 1930,English,76416,18 and up,2,0
Various Various,Astounding Stories of Super-Science February 1930,English,70301,18 and up,2,0
Various Various,"Astounding Stories, April, 1931",English,77203,18 and up,2,0
Various Various,"Astounding Stories, February, 1931",English,73573,18 and up,2,1
Various Various,"Astounding Stories, June, 1931",English,68889,18 and up,2,0
Various Various,"Astounding Stories, March, 1931",English,72464,18 and up,2,0
William  Garnett,Heroes of Science: Physicists,English,76231,18 and up,2,0
Xenophon Xenophon,Hiero,English,14989,18 and up,2,2
John  Berryman,The Trouble with Telstar,English,14027,18 and up,1,1
